"price","boro","distances"
76,"Manhattan",206.02184455108
175,"Manhattan",286.40287286528
99,"Manhattan",174.49420844965
250,"Manhattan",631.055702097934
180,"Manhattan",155.291439981719
119,"Manhattan",105.748111197566
98,"Manhattan",613.652546380836
250,"Manhattan",93.6256180427878
120,"Manhattan",658.709372453692
60,"Manhattan",311.317792861262
183,"Manhattan",158.286691838267
55,"Manhattan",99.4276641507772
165,"Manhattan",103.04024192193
70,"Manhattan",440.488969217377
185,"Manhattan",82.8635710172209
100,"Manhattan",311.725332745116
225,"Manhattan",113.366620606866
82,"Manhattan",88.2063430691658
94,"Manhattan",158.611606976011
115,"Manhattan",245.973583638244
170,"Manhattan",269.379461918349
65,"Manhattan",194.118975860654
56,"Manhattan",230.299914722839
200,"Manhattan",228.390106232235
175,"Manhattan",405.320721776978
123,"Manhattan",542.419975362613
80,"Manhattan",274.481258561776
99,"Manhattan",237.953285202862
178,"Manhattan",339.915851460433
147,"Manhattan",204.325528190724
115,"Manhattan",762.384771659199
219,"Manhattan",300.044635083257
102,"Manhattan",62.6246461760118
150,"Manhattan",189.040724599449
181,"Manhattan",364.031309089978
200,"Manhattan",130.077511936578
270,"Manhattan",228.69009885028
400,"Manhattan",33.0028152970059
85,"Manhattan",376.484381584475
140,"Manhattan",69.7302871058455
65,"Manhattan",46.6765881911375
90,"Manhattan",659.46469124081
125,"Manhattan",66.3688762382279
125,"Manhattan",22.5316229150549
790,"Manhattan",159.143381197689
71,"Manhattan",515.265503693288
100,"Manhattan",108.315037233024
175,"Manhattan",165.897844450416
142,"Manhattan",494.02633049118
50,"Manhattan",220.504886681828
378,"Manhattan",4.79937977772469
96,"Manhattan",254.199953040266
60,"Manhattan",194.84136926765
180,"Manhattan",115.76054985214
115,"Manhattan",629.615014776918
300,"Manhattan",209.639393279775
175,"Manhattan",120.888856854152
103,"Manhattan",75.0185537148279
75,"Manhattan",362.629231055453
50,"Manhattan",220.451405082264
80,"Manhattan",64.3405578806884
150,"Manhattan",439.613870099379
250,"Manhattan",82.7347223637455
300,"Manhattan",161.124118572377
165,"Manhattan",570.95838868893
255,"Manhattan",235.256023998586
195,"Manhattan",559.556289604062
150,"Manhattan",348.079004799869
60,"Manhattan",337.054826986105
70,"Manhattan",174.031414387818
71,"Manhattan",20.9619895588201
250,"Manhattan",140.827874159104
100,"Manhattan",251.702976734187
125,"Manhattan",62.2633157810842
99,"Manhattan",274.575678752029
186,"Manhattan",186.178928468802
80,"Manhattan",311.934906070062
120,"Manhattan",71.1280090829464
175,"Manhattan",171.246926030499
105,"Manhattan",179.938818896888
49,"Manhattan",407.68332124587
70,"Manhattan",364.504163001839
50,"Manhattan",178.110146056576
130,"Manhattan",197.70581568634
200,"Manhattan",96.453749101513
720,"Manhattan",209.306341297881
165,"Manhattan",435.116982935048
60,"Manhattan",167.530611451044
200,"Manhattan",121.449666966476
150,"Manhattan",487.953746420255
34,"Manhattan",287.505704760737
75,"Manhattan",203.988284301016
175,"Manhattan",343.188692653008
111,"Manhattan",123.600951654013
400,"Manhattan",333.542296506241
140,"Manhattan",58.7920648188166
160,"Manhattan",190.14100518952
38,"Manhattan",45.4000681093342
229,"Manhattan",221.305128913856
100,"Manhattan",681.030244548441
175,"Manhattan",342.116821781217
60,"Manhattan",391.734294902937
84,"Manhattan",142.490194163921
110,"Manhattan",376.151681872407
120,"Manhattan",318.837626510692
65,"Manhattan",315.971941634708
225,"Manhattan",238.789472643564
110,"Manhattan",605.375182788229
100,"Manhattan",290.383730094764
65,"Manhattan",163.816357657796
80,"Manhattan",111.756064706394
105,"Manhattan",507.039871712115
145,"Manhattan",27.0457579316438
37,"Manhattan",296.845381960533
130,"Manhattan",184.25990384125
175,"Manhattan",106.915351458606
174,"Manhattan",553.270892643152
85,"Manhattan",400.844512208353
100,"Manhattan",81.7679041438893
250,"Manhattan",366.04050144476
45,"Manhattan",147.379396224131
133,"Manhattan",199.181456639592
163,"Manhattan",111.301834319139
110,"Manhattan",319.989505928321
100,"Manhattan",271.887563194326
145,"Manhattan",73.7817955038854
159,"Manhattan",77.0021029464839
115,"Manhattan",191.845312640964
100,"Manhattan",494.142619271728
89,"Manhattan",367.800149478649
275,"Manhattan",730.644948361224
120,"Manhattan",157.223847927061
150,"Manhattan",239.790059435987
1395,"Manhattan",344.137518963339
120,"Manhattan",19.3940940955866
68,"Manhattan",113.051196693906
450,"Manhattan",95.38892158289
110,"Manhattan",201.627487106625
50,"Manhattan",1248.92716543327
295,"Manhattan",634.998874612057
44,"Manhattan",57.6804454878936
80,"Manhattan",211.434050217988
97,"Manhattan",316.933409906406
80,"Manhattan",272.028164039323
180,"Manhattan",298.811236550186
75,"Manhattan",190.904070110143
125,"Manhattan",179.283177613204
105,"Manhattan",47.223360092324
94,"Manhattan",387.9005036412
170,"Manhattan",127.73513435224
170,"Manhattan",481.123203906692
80,"Manhattan",193.707774705116
140,"Manhattan",307.865472525166
180,"Manhattan",86.9886597492843
400,"Manhattan",237.429184700567
59,"Manhattan",188.54386631437
339,"Manhattan",365.158120353531
175,"Manhattan",85.893147623568
65,"Manhattan",189.293241003142
190,"Manhattan",168.65155146467
120,"Manhattan",187.672794809323
250,"Manhattan",282.943172905229
135,"Manhattan",89.8381863351963
55,"Manhattan",312.187572644175
90,"Manhattan",320.148461411857
220,"Manhattan",39.5104352421284
400,"Manhattan",413.431647147888
219,"Manhattan",23.8351052410524
200,"Manhattan",102.378085086714
99,"Manhattan",232.279101467202
150,"Manhattan",164.464638334058
120,"Manhattan",281.473805133674
93,"Manhattan",857.452871964154
200,"Manhattan",233.414015532811
125,"Manhattan",369.197388910143
350,"Manhattan",48.9219451822314
140,"Manhattan",196.091220186098
58,"Manhattan",866.741554151543
250,"Manhattan",289.70646839748
275,"Manhattan",609.839006826607
195,"Manhattan",253.41010154226
275,"Manhattan",353.212397394157
234,"Manhattan",390.000839578049
115,"Manhattan",225.073319479358
236,"Manhattan",224.326519856487
150,"Manhattan",134.712258859333
80,"Manhattan",326.536448177096
197,"Manhattan",146.090678967439
